ML#,Style,Development,Sold_Price,Baths Half,Bath,Bedrooms,Appearance,Unit on Floor #,Days On Market,Contract Date,Listing Price,Town
853,Garden Apartment,Southland,195000,1,0,1,,1,25,03/01/2023,195000,Coral
855,Co-Op,Southland,141000,2,0,2,,1,48,2/18/2020,129999,Coral
859,Other,Southland,95000,1,0,1,,1,81,5/28/2020,110000,Coral
860,Other,Southland,115000,1,0,1,Gorgeous,1,12,06/07/2020,105000,Coral
862,Other,Southland,115000,1,0,1,mint +,1,14,6/11/2020,123000,Coral
864,Other,Southland,140000,1,0,1,Diamond,1,34,6/23/2020,143900,Coral
865,Other,Southland,70000,1,0,1,,1,58,6/23/2020,80000,Coral
866,Other,Southland,119000,1,0,1,,1,68,6/25/2020,119900,Coral
867,Garden Apartment,Southland,95000,1,0,1,Mint,1,16,07/05/2020,89000,Coral
871,Other,Southland,132200,1,0,1,Diamond,1,257,07/08/2020,129000,Coral
874,Other,Southland,101000,1,0,1,Mint,1,187,7/16/2020,106500,Coral
875,Other,Southland,143000,1,1,1,,1,24,8/14/2020,139999,Coral
877,Other,Southland,110000,1,0,1,DIAMOND,1,39,8/25/2020,110000,Coral
878,Townhouse,Southland,120000,1,0,1,,1,87,8/28/2020,124000,Coral
879,Other,Southland,130000,1,1,1,excellent,1,24,09/01/2020,129990,Coral
881,Other,Southland,135000,1,0,1,Mint ++,1,32,9/18/2020,131000,Coral
882,Other,Southland,116000,1,0,1,mint,1,35,9/18/2020,119900,Coral
883,Other,Southland,94000,1,0,1,good,1,19,9/19/2020,109000,Coral
884,Other,Southland,107000,1,0,1,Excellent,1,21,9/23/2020,107000,Coral
885,Other,Southland,119300,1,0,1,,1,91,9/29/2020,129999,Coral
887,Other,Southland,115000,1,0,1,Diamond++,1,208,10/19/2020,105000,Coral
888,Other,Southland,116500,1,0,1,,1,16,10/25/2020,110000,Coral
892,Other,Southland,136000,1,1,1,excellent,1,21,11/10/2020,130000,Coral
893,Townhouse,Southland,190000,2,0,2,mint,1,226,11/10/2020,189999,Coral
895,Garden Apartment,Southland,150000,1,0,1,Excellent,1,25,11/16/2020,147150,Coral
896,Other,Southland,121500,1,0,1,Excellent,1,34,11/25/2020,127500,Coral
898,Garden Apartment,Southland,155000,1,1,1,,1,23,12/19/2020,139999,Coral
899,Garden Apartment,Southland,125000,1,0,1,MINT,1,53,12/30/2020,124990,Coral
901,Garden Apartment,Southland,121000,1,0,1,mint+++,1,10,1/15/2021,119999,Coral
903,Other,Southland,140000,1,0,1,Excellent,1,7,02/01/2021,134000,Coral
906,Other,Southland,160000,1,1,1,,1,15,3/10/2021,160000,Coral
907,Other,Southland,130000,1,0,1,Diamond,1,19,3/11/2021,129900,Coral
908,Garden Apartment,Southland,98000,1,0,1,Excellent,1,12,3/14/2021,98000,Coral
909,Other,Southland,114000,1,0,1,Excellent+,1,8,3/17/2021,119900,Coral
910,Townhouse,Southland,189000,2,0,2,Mint +,1,134,04/05/2021,199900,Coral
911,Garden Apartment,Southland,115000,1,0,1,mint,1,18,04/08/2021,109000,Coral
913,Garden Apartment,Southland,135000,1,0,1,Mint,1,24,4/26/2021,118000,Coral
915,Garden Apartment,Southland,126000,1,0,1,Mint,1,11,4/26/2021,120000,Coral
917,Other,Southland,125000,1,0,1,Mint,1,4,4/29/2021,125000,Coral
920,Other,Southland,146000,1,0,1,mint,1,52,5/19/2021,138500,Coral
921,Garden Apartment,Southland,145000,1,0,1,,1,7,5/26/2021,124898,Coral
922,Garden Apartment,Southland,135000,1,0,1,Mint,1,15,06/03/2021,125000,Coral
923,Garden Apartment,Southland,149000,1,0,1,Diamond,1,42,06/07/2021,149000,Coral
927,Garden Apartment,Southland,140000,1,0,1,Excellent,1,9,6/23/2021,130000,Coral
928,Mid Rise,Southland,115000,1,0,1,Excellent,1,16,6/22/2021,115000,Coral
929,Garden Apartment,Southland,155000,1,0,1,Mint,1,20,6/25/2021,149000,Coral
930,Garden Apartment,Southland,175000,1,1,1,Diamond ++,1,44,6/28/2021,169999,Coral
933,Garden Apartment,Southland,150000,1,1,1,Diamond,1,2,7/21/2021,150000,Coral
934,Townhouse,Southland,140000,1,0,1,Mint,1,18,7/22/2021,130000,Coral
935,Other,Southland,155000,1,0,1,Excellent,1,11,7/24/2021,165000,Coral
937,Garden Apartment,Southland,152000,1,1,1,,1,22,8/17/2021,149000,Coral
938,Garden Apartment,Southland,150000,1,0,1,diamond,1,28,8/20/2021,145000,Coral
941,Garden Apartment,Southland,140000,1,0,1,,1,138,9/14/2021,139999,Coral
942,Other,Southland,149000,1,0,1,,1,87,9/14/2021,149000,Coral
943,Other,Southland,135000,1,0,1,,1,19,9/20/2021,130000,Coral
946,Mid Rise,Southland,133000,1,0,1,Excellent,1,48,11/16/2021,133000,Coral
948,Garden Apartment,Southland,135000,1,0,1,,1,18,11/29/2021,119999,Coral
950,Garden Apartment,Southland,187900,1,1,1,,1,42,12/10/2021,187900,Coral
951,Garden Apartment,Southland,190000,1,1,1,Mint,1,63,12/10/2021,179999,Coral
952,Garden Apartment,Southland,145000,1,0,1,Mint,1,126,10/13/2021,139900,Coral
954,Garden Apartment,Southland,135000,1,0,1,,1,78,10/15/2020,127900,Coral
955,Garden Apartment,Southland,145000,1,0,1,,1,28,3/10/2021,135000,Coral
956,Garden Apartment,Southland,170000,1,0,1,,1,116,5/17/2021,169000,Coral
957,Garden Apartment,Southland,160000,1,0,1,,1,23,5/17/2021,149000,Coral
958,Garden Apartment,Southland,168000,1,0,1,,1,24,8/17/2021,165000,Coral
960,Garden Apartment,Southland,168000,1,0,1,,1,29,12/14/2021,169900,Coral
961,Co-Op,Southland,135000,1,0,1,Mint+++,1,7,01/03/2020,134999,Coral
962,Co-Op,Southland,126990,1,0,1,Mint+,1,25,1/10/2020,126990,Coral
963,Co-Op,Southland,122000,1,1,1,Excellent,1,39,1/29/2020,130000,Coral
966,Co-Op,Southland,93000,1,0,1,Mint,1,41,03/06/2020,105000,Coral
968,Other,Southland,134000,1,0,1,Diamond,1,28,3/24/2020,134996,Coral
777,Townhouse,Southland,145000,1,0,1,Mint,2,6,01/06/2022,150000,Coral
778,Other,Southland,183000,1,0,1,Diamond,2,40,01/07/2022,185000,Coral
784,Garden Apartment,Southland,140000,1,0,1,,2,21,3/24/2022,139999,Coral
786,Garden Apartment,Southland,189000,1,1,1,Mint +,2,14,3/29/2022,189000,Coral
787,Garden Apartment,Southland,165000,1,0,1,,2,10,04/02/2022,170000,Coral
789,Garden Apartment,Southland,130000,1,0,1,,2,17,04/08/2022,124000,Coral
791,Other,Southland,170000,1,0,1,,2,9,4/26/2022,149999,Coral
792,Garden Apartment,Southland,165000,1,0,1,,2,55,05/03/2022,150000,Coral
793,Garden Apartment,Southland,156000,1,0,1,Excellent,2,22,05/04/2022,145000,Coral
794,Mid Rise,Southland,176000,1,0,1,Excellent,2,9,5/11/2022,150000,Coral
797,Mid Rise,Southland,178429,1,0,1,Excellent,2,10,5/27/2022,160000,Coral
801,Garden Apartment,Southland,165000,1,0,1,Excellent,2,11,6/13/2022,159990,Coral
802,Other,Southland,183000,1,1,1,,2,15,6/16/2022,179000,Coral
803,Garden Apartment,Southland,140000,1,0,1,Great,2,30,6/14/2022,139999,Coral
807,Garden Apartment,Southland,150000,1,0,1,,2,18,07/07/2022,149999,Coral
809,Garden Apartment,Southland,141500,1,0,1,Mint ++,2,35,7/22/2022,139000,Coral
810,Garden Apartment,Southland,175000,1,0,1,Diamond,2,17,7/25/2022,169000,Coral
811,Garden Apartment,Southland,155000,1,0,1,,2,24,08/02/2022,175000,Coral
812,Garden Apartment,Southland,205000,1,1,1,Diamond +,2,130,8/22/2022,219999,Coral
814,Other,Southland,189000,1,0,1,Mint+++,2,19,8/25/2022,189000,Coral
818,Mid Rise,Southland,155000,1,0,1,Excellent,2,20,09/09/2022,140000,Coral
821,Garden Apartment,Southland,220000,1,1,1,Diamond,2,26,10/02/2022,184888,Coral
825,Co-Op,Southland,170000,1,0,1,EXCELLENT,2,34,12/27/2022,165000,Coral
829,Garden Apartment,Southland,193000,1,0,1,,2,11,1/25/2023,189000,Coral
831,Other,Southland,195000,1,0,1,,2,39,02/07/2023,209000,Coral
832,Garden Apartment,Southland,190000,1,0,1,Diamond +,2,87,2/10/2023,189888,Coral
835,Garden Apartment,Southland,161000,1,0,1,Good,2,21,03/06/2023,159999,Coral
837,Other,Southland,196000,1,0,1,Excellent,2,13,04/04/2023,205000,Coral
838,Garden Apartment,Southland,215000,1,0,1,Diamond,2,91,4/17/2023,215000,Coral
840,Other,Southland,230000,1,0,1,,2,5,4/21/2023,225000,Coral
842,Garden Apartment,Southland,190000,1,0,1,Exc+,2,3,5/11/2023,169900,Coral
843,Garden Apartment,Southland,240000,1,0,1,,2,19,06/03/2023,209999,Coral
844,Garden Apartment,Southland,190000,1,0,1,Mint +,2,28,6/14/2023,175000,Coral
845,Garden Apartment,Southland,215000,1,0,1,Diamond,2,8,6/14/2023,199999,Coral
846,Mid Rise,Southland,193000,1,0,1,Diamond,2,25,6/29/2023,190000,Coral
847,Mid Rise,Southland,205000,1,1,1,Excellent,2,42,7/11/2023,200000,Coral
848,Garden Apartment,Southland,207000,1,0,1,Mint,2,20,7/13/2023,207000,Coral
849,Garden Apartment,Southland,190000,1,0,1,,2,10,04/05/2022,169999,Coral
854,Garden Apartment,Southland,120000,1,0,1,Superb,2,226,1/28/2020,124000,Coral
856,Co-Op,Southland,115000,1,0,1,Exel++,2,160,2/18/2020,114990,Coral
857,Co-Op,Southland,110000,1,0,1,Diamond,2,208,3/16/2020,110000,Coral
858,Mid Rise,Southland,115000,1,0,1,mint,2,131,5/13/2020,117900,Coral
861,Other,Southland,120000,1,0,1,,2,251,06/09/2020,119900,Coral
863,Other,Southland,110000,1,0,1,Excellent,2,26,6/18/2020,110000,Coral
868,Other,Southland,122000,1,0,1,Mint,2,30,07/06/2020,124900,Coral
869,Other,Southland,132000,1,0,1,,2,119,07/06/2020,132000,Coral
870,Garden Apartment,Southland,115000,1,0,1,,2,23,07/07/2020,120000,Coral
872,Other,Southland,109000,1,0,1,Excellent+,2,36,07/01/2020,109000,Coral
873,Other,Southland,110000,1,0,1,Excellent,2,50,7/15/2020,110000,Coral
876,Garden Apartment,Southland,106000,1,0,1,Mint,2,50,8/17/2020,108000,Coral
880,Other,Southland,130000,1,0,1,,2,23,09/09/2020,135000,Coral
886,Other,Southland,117000,1,0,1,Excellent,2,22,10/11/2020,112000,Coral
889,Other,Southland,113000,1,0,1,Diamond,2,18,10/29/2020,109000,Coral
890,Townhouse,Southland,140000,1,0,1,Excellent,2,23,11/01/2020,135000,Coral
891,Other,Southland,105000,1,0,1,Mint,2,34,11/06/2020,110000,Coral
894,Other,Southland,112500,1,0,1,Mint+++,2,24,11/14/2020,119898,Coral
897,Other,Southland,135000,1,0,1,Diamond,2,23,11/29/2020,125000,Coral
900,Other,Southland,105000,1,0,1,Excellent,2,20,01/06/2021,99999,Coral
902,Other,Southland,144000,1,1,1,Mint,2,140,10/14/2020,134900,Coral
904,Other,Southland,150000,1,0,1,diamond+,2,15,03/01/2021,135000,Coral
905,Garden Apartment,Southland,135000,1,0,1,,2,11,03/03/2021,129000,Coral
912,Other,Southland,148000,1,0,1,,2,6,4/21/2021,138500,Coral
914,Garden Apartment,Southland,133000,1,0,1,Excellent,2,14,4/26/2021,125000,Coral
916,Other,Southland,130000,1,0,1,Unknown,2,1,4/28/2021,119000,Coral
918,Garden Apartment,Southland,145000,1,0,1,Mint,2,52,4/30/2021,139999,Coral
919,Other,Southland,125000,1,0,1,MINT++,2,15,05/01/2021,125000,Coral
924,Other,Southland,110000,1,0,1,Excellent,2,15,6/14/2021,99900,Coral
925,Other,Southland,135000,1,0,1,Mint,2,30,6/16/2021,134999,Coral
926,Mid Rise,Southland,120000,1,0,1,Excellent,2,15,6/17/2021,109000,Coral
931,Townhouse,Southland,150000,1,0,1,Mint,2,18,7/15/2021,155000,Coral
932,Mid Rise,Southland,125000,1,0,1,,2,17,7/19/2021,115000,Coral
936,Co-Op,Southland,150000,1,1,1,,2,162,8/10/2021,154990,Coral
939,Other,Southland,150000,1,0,1,Diamond,2,14,8/24/2021,139990,Coral
940,Garden Apartment,Southland,120000,1,0,1,EXCELLENT,2,40,09/03/2021,109900,Coral
944,Garden Apartment,Southland,140000,1,0,1,Diamond,2,6,10/08/2021,142500,Coral
945,Garden Apartment,Southland,125000,1,0,1,EXCELLENT,2,18,10/15/2021,120000,Coral
947,Other,Southland,140000,1,0,1,,2,14,11/22/2021,139999,Coral
949,Other,Southland,175000,1,0,1,Diamond +,2,14,11/30/2021,165000,Coral
953,Garden Apartment,Southland,125000,1,0,1,,2,81,6/29/2020,125000,Coral
959,Garden Apartment,Southland,165000,1,0,1,,2,24,8/17/2021,165000,Coral
964,Co-Op,Southland,105000,1,0,1,Mint,2,30,02/09/2020,109999,Coral
965,Co-Op,Southland,113000,1,0,1,Diamond,2,42,2/10/2020,119000,Coral
967,Co-Op,Southland,112500,1,1,1,,2,52,3/17/2020,119999,Coral
969,Other,Southland,135000,1,0,1,Mint ++,2,29,5/18/2020,135000,Coral
970,Other,Southland,85000,1,0,1,Excellent,2,31,6/15/2020,109000,Coral
531,Garden Apartment,Streamville,220500,1,0,1,mint,1,15,11/01/2020,199999,Eastern
535,Garden Apartment,Streamville,209000,1,0,1,Mint,1,16,5/19/2021,185000,Eastern
537,Garden Apartment,Streamville,215000,1,0,1,Good,1,24,8/17/2022,199900,Eastern
539,Garden Apartment,Streamville,225000,1,0,1,Mint,1,65,9/12/2022,235000,Eastern
532,Garden Apartment,Streamville,196500,1,0,1,Excellent,2,4,03/02/2021,199900,Eastern
533,Garden Apartment,Streamville,212000,1,0,1,Excellent,2,55,3/10/2021,215000,Eastern
534,Other,Streamville,220000,1,0,1,Excellent,2,37,5/16/2021,214990,Eastern
536,Garden Apartment,Streamville,235000,1,0,1,,2,38,03/07/2022,239999,Eastern
538,Garden Apartment,Streamville,225000,1,0,1,,2,20,8/18/2022,235000,Eastern
540,Garden Apartment,Streamville,265000,1,0,1,Diamond,2,21,11/02/2022,249000,Eastern
248,Condo,University Heights,323500,2,0,2,,1,71,3/12/2020,329000,Middletown
249,Townhouse,University Heights,399000,3,1,3,Diamond,1,26,11/30/2020,399999,Middletown
250,Townhouse,University Heights,385000,1,1,1,Mint,1,16,10/25/2021,369000,Middletown
251,Townhouse,University Heights,370000,1,1,1,Good/dated,1,10,07/06/2023,349000,Middletown
1305,Other,Windswept,190000,1,0,1,Excellent,1,104,4/15/2020,190000,Middletown
1306,Other,Windswept,229000,1,0,1,EXCELLENT,1,21,5/21/2020,229000,Middletown
1307,Other,Windswept,230000,1,0,1,MINT +,1,38,6/26/2020,229900,Middletown
1308,Garden Apartment,Windswept,180000,1,0,1,,1,42,7/14/2020,185000,Middletown
1309,Garden Apartment,Windswept,194000,1,0,1,,1,23,8/12/2020,179000,Middletown
1310,Other,Windswept,203500,1,0,1,,1,185,03/01/2020,209888,Middletown
1311,Other,Windswept,200000,1,0,1,As is,1,64,09/09/2020,179500,Middletown
1312,Other,Windswept,183000,1,0,1,,1,93,9/10/2020,185000,Middletown
1313,Other,Windswept,237500,1,0,1,Mint,1,39,9/30/2020,249990,Middletown
1314,Townhouse,Windswept,273000,1,1,1,Excellent,1,35,10/17/2020,263500,Middletown
1315,Townhouse,Windswept,235000,1,0,1,Move In,1,57,11/19/2020,233000,Middletown
1316,Other,Windswept,225000,1,0,1,,1,190,12/22/2020,232000,Middletown
1317,Garden Apartment,Windswept,205000,1,0,1,MINT,1,25,01/03/2021,210000,Middletown
1318,Townhouse,Windswept,287000,1,1,1,Mint++,1,13,2/10/2021,289900,Middletown
1319,Garden Apartment,Windswept,250000,1,0,1,Diamond,1,9,2/24/2021,239999,Middletown
1320,Other,Windswept,230000,1,0,1,,1,42,03/07/2021,235000,Middletown
1321,Mid Rise,Windswept,250000,1,0,1,Mint,1,8,3/15/2021,235000,Middletown
1322,Townhouse,Windswept,300500,1,1,1,Mint,1,11,04/04/2021,279000,Middletown
1323,Other,Windswept,335000,1,1,1,Good,1,6,4/14/2021,299999,Middletown
1324,Townhouse,Windswept,305000,1,1,1,,1,19,4/24/2021,289000,Middletown
1325,Townhouse,Windswept,310000,1,1,1,Mint ++,1,39,5/26/2021,310000,Middletown
1326,Garden Apartment,Windswept,225000,1,0,1,Excellent,1,21,06/04/2021,219000,Middletown
1327,Garden Apartment,Windswept,221000,1,0,1,Diam,1,4,06/08/2021,199000,Middletown
1328,Townhouse,Windswept,320000,1,1,1,Mint,1,11,6/25/2021,320000,Middletown
1329,Other,Windswept,267000,1,0,1,Excellent,1,85,8/18/2021,259900,Middletown
1330,Other,Windswept,269000,1,0,1,Mint ++,1,30,9/30/2021,259990,Middletown
1331,Townhouse,Windswept,225000,1,0,1,MINT,1,29,10/07/2021,255000,Middletown
1332,Garden Apartment,Windswept,270000,1,0,1,Diamond++,1,15,10/21/2021,259900,Middletown
1333,Garden Apartment,Windswept,270000,1,1,1,,1,77,11/04/2021,275000,Middletown
1335,Other,Windswept,272950,1,0,1,Good,1,191,7/30/2021,250000,Middletown
1337,Townhouse,Windswept,365000,1,1,1,,1,66,1/13/2022,369900,Middletown
1338,Garden Apartment,Windswept,275000,1,0,1,,1,24,1/18/2022,269900,Middletown
1339,Other,Windswept,270000,1,0,1,,1,4,1/21/2022,259000,Middletown
1340,Townhouse,Windswept,330000,1,1,1,Very Good,1,44,5/18/2022,319900,Middletown
1342,Other,Windswept,310000,1,1,1,,1,136,6/17/2022,274900,Middletown
1343,Other,Windswept,270000,1,0,1,,1,19,07/07/2022,259900,Middletown
1344,Townhouse,Windswept,330000,1,1,1,Diamond,1,62,7/14/2022,299000,Middletown
1345,Other,Windswept,285000,1,0,1,Diamond,1,33,8/27/2022,269000,Middletown
1346,Townhouse,Windswept,355000,1,1,1,Diamond++,1,13,10/07/2022,350000,Middletown
1348,Other,Windswept,275000,1,0,1,Mint,1,21,11/18/2022,273000,Middletown
1349,Other,Windswept,267500,1,0,1,Excellent,1,46,1/20/2023,257500,Middletown
1350,Mid Rise,Windswept,325000,1,0,1,Diamond,1,5,4/28/2023,279000,Middletown
1351,Townhouse,Windswept,254000,1,1,1,Mint,1,26,5/28/2020,249900,Middletown
1352,Condo,Windswept,159000,1,0,1,Excellent,1,19,01/08/2020,165000,Middletown
1353,Condo,Windswept,270000,1,1,1,Excellent,1,16,03/04/2020,264990,Middletown
1354,Condo,Windswept,245000,1,0,1,,1,43,01/08/2020,229900,Middletown
1355,Condo,Windswept,189000,1,0,1,,1,39,02/07/2020,189000,Middletown
1336,Other,Windswept,290000,1,0,1,Diamond,2,15,01/03/2022,249999,Middletown
1341,Other,Windswept,255000,1,0,1,Good,2,43,06/01/2022,255000,Middletown
1347,Other,Windswept,275000,1,0,1,,2,25,10/10/2022,270000,Middletown
1334,Townhouse,Windswept,335000,1,1,1,Mint,2,54,11/09/2021,349900,Middletown
502,Other,Wolfville,350000,2,0,2,Mint++,1,232,5/11/2020,349990,Middletown
503,Other,Wolfville,346000,2,0,2,munt ++,1,71,06/04/2020,345000,Middletown
504,Other,Wolfville,318000,2,0,2,New,1,62,7/10/2020,329000,Middletown
507,Other,Wolfville,365000,2,0,2,Diamond,1,15,11/23/2020,375000,Middletown
510,Townhouse,Wolfville,395000,2,0,2,Diamond,1,40,4/19/2021,374999,Middletown
513,Other,Wolfville,388000,2,0,2,Mint,1,25,6/18/2021,395000,Middletown
514,Townhouse,Wolfville,385000,2,0,2,Mint,1,65,11/20/2021,399000,Middletown
515,Townhouse,Wolfville,426000,3,0,3,Mint,1,16,02/07/2022,378400,Middletown
518,Townhouse,Wolfville,420000,2,0,2,,1,15,05/02/2022,399000,Middletown
520,Other,Wolfville,426000,2,0,2,Diamond,1,13,06/01/2022,439000,Middletown
523,Garden Apartment,Wolfville,410000,2,0,2,Excellent,1,181,09/08/2022,374999,Middletown
527,Garden Apartment,Wolfville,435000,2,0,2,Excellent,1,26,3/10/2023,415000,Middletown
530,Condo,Wolfville,358000,2,0,2,,1,26,2/20/2020,359000,Middletown
505,Townhouse,Wolfville,330000,2,0,2,excellent,2,61,7/24/2020,330000,Middletown
506,Other,Wolfville,340000,2,0,2,Mint +,2,54,9/26/2020,349000,Middletown
508,Other,Wolfville,360000,2,0,2,,2,16,01/09/2021,349990,Middletown
509,Other,Wolfville,369990,2,0,2,Diamond+++,2,32,2/27/2021,359990,Middletown
511,Other,Wolfville,385000,2,0,2,Diamond,2,16,5/10/2021,359900,Middletown
512,Townhouse,Wolfville,375000,2,0,2,Diamond,2,16,5/12/2021,370000,Middletown
516,Townhouse,Wolfville,401000,2,0,2,Excellent,2,43,03/08/2022,387000,Middletown
517,Other,Wolfville,420000,2,0,2,Diamond,2,71,3/29/2022,399000,Middletown
519,Other,Wolfville,430000,2,0,2,Mint+,2,8,5/16/2022,395000,Middletown
521,Garden Apartment,Wolfville,429000,2,0,2,Excellent,2,98,07/08/2022,429000,Middletown
522,Townhouse,Wolfville,365000,2,0,2,Excellent,2,98,08/03/2022,369000,Middletown
524,Other,Wolfville,387000,2,0,2,Mint,2,27,9/14/2022,383999,Middletown
525,Other,Wolfville,380000,2,0,2,,2,42,12/14/2022,374999,Middletown
526,Other,Wolfville,415000,2,0,2,Mint,2,18,2/20/2023,415000,Middletown
528,Other,Wolfville,410000,2,0,2,Mint,2,29,3/30/2023,414999,Middletown
529,Townhouse,Wolfville,439000,2,0,2,Mint,2,8,6/22/2023,409000,Middletown
1228,Other,Yellowstone,399000,3,0,3,Mint+,1,17,7/22/2020,399000,Affected
1229,Other,Yellowstone,354000,2,0,2,Diamond,1,24,10/22/2020,349000,Affected
1230,Townhouse,Yellowstone,501000,3,0,3,Excellent,1,11,03/05/2021,459500,Affected
1231,Townhouse,Yellowstone,429000,2,0,2,Excellent,1,25,5/20/2021,399990,Affected
1232,Townhouse,Yellowstone,545000,3,0,3,Diamond,1,86,5/28/2021,549990,Affected
1237,Townhouse,Yellowstone,480000,3,0,3,,1,8,11/04/2021,489000,Affected
1238,Townhouse,Yellowstone,393000,2,0,2,,1,16,1/11/2022,389000,Affected
1239,Townhouse,Yellowstone,459000,2,1,2,Excellent,1,6,3/12/2022,459000,Affected
1240,Other,Yellowstone,405000,2,0,2,Excellent,1,7,04/04/2022,399000,Affected
1241,Townhouse,Yellowstone,495000,3,0,3,Mint +,1,88,06/04/2022,520000,Affected
1242,Townhouse,Yellowstone,495000,2,0,2,Excellent,1,44,03/06/2023,495000,Affected
1243,Other,Yellowstone,410000,2,0,2,Mint,1,49,3/17/2023,409990,Affected
1245,Other,Yellowstone,369000,2,0,2,,1,21,4/20/2020,379990,Affected
1233,Townhouse,Yellowstone,430000,3,0,3,Diamond,2,27,6/11/2021,459999,Affected
1234,Other,Yellowstone,362500,2,0,2,,2,38,6/11/2021,369000,Affected
1235,Other,Yellowstone,385000,2,0,2,Mint ++++,2,47,8/11/2021,379000,Affected
1236,Other,Yellowstone,355000,2,0,2,Excellent,2,38,8/17/2021,365000,Affected
1244,Other,Yellowstone,295500,2,0,2,,2,57,04/05/2020,299900,Affected